appid,release_date
12670,2009-07-17
12710,2009-11-12
12770,2009-01-07
12790,2009-05-22
12810,2009-06-24
12830,2009-10-08
13000,2008-03-21
13140,2009-06-17
13200,2008-03-17
13210,2009-03-05
13230,2004-03-17
13240,2008-03-17
13250,2008-03-17
13500,2009-08-27
13520,2008-04-01
13530,2009-08-27
13540,2008-04-09
13560,2008-04-01
13570,2009-08-27
13580,2009-02-13
13600,2009-08-27
13620,2008-07-15
15000,2009-08-27
15080,2008-06-13
15100,2008-04-09
15120,2008-04-16
15130,2008-05-13
15160,2009-08-27
15170,2008-05-13
15190,2008-05-13
15200,2009-08-27
15210,2008-06-13
15240,2009-08-27
15270,2008-05-13
15300,2008-07-15
15320,2008-06-13
15370,2008-10-10
15380,2008-10-10
15390,2008-10-08
15400,2009-01-23
15500,2008-07-17
15520,2009-09-03
15560,2011-11-23
15620,2009-02-18
15700,2008-08-28
15710,2008-08-28
15740,2010-12-20
15750,2010-12-20
15800,2008-06-30
15900,2008-06-10
15910,2008-06-10
15920,2008-06-10
15930,2008-06-10
15960,2008-06-10
15970,2008-06-10
16000,2008-07-29
16020,2008-10-31
16030,2008-11-14
16040,2008-12-15
16060,2009-04-29
16100,2008-05-12
16110,2008-05-12
16120,2008-05-12
16130,2008-05-12
16180,2008-05-28
16200,2009-05-06
16450,2009-02-12
16500,2008-05-22
16600,2008-05-28
16620,2009-01-29
16710,2008-07-01
16720,2009-05-01
16730,2008-12-01
16810,2008-09-23
16900,2018-08-14
17080,2012-06-27
17100,2008-07-08
17120,2008-09-22
17140,2008-09-30
17180,2008-11-19
17300,2008-09-17
17330,2008-09-17
17390,2008-12-19
17410,2009-01-14
17430,2008-12-19
17440,2008-12-19
17450,2009-11-05
17460,2008-12-19
17470,2009-01-09
17480,2009-01-08
17500,2008-10-03
17570,2010-02-12
17710,2011-09-26
17740,2008-07-28
18000,2008-05-21
18020,2008-11-07
18040,2010-10-25
18050,2010-11-30
18070,2011-08-31
18120,2012-01-19
18300,2008-10-20
18400,2008-06-20
18420,2008-12-12
18470,2009-04-30
18480,2009-07-29
18500,2008-12-08
18600,2009-01-22
18700,2009-04-02
18820,2010-01-12
19000,2009-03-02
19020,2010-06-25
19030,2010-06-25
19080,2010-06-25
19200,2008-08-21
19320,2012-03-16
19500,2008-07-31
19800,2008-10-10
19830,2008-09-25
19900,2008-10-22
19980,2008-12-10
20200,2008-10-21
20510,2008-09-15
20530,2009-08-05
20540,2009-04-08
20550,2009-08-06
20570,2010-03-11
20700,2008-11-03
20710,2008-11-03
20820,2010-03-15
20900,2008-09-16
20920,2012-04-16
21000,2008-09-29
21010,2009-03-04
21030,2009-07-29
21090,2010-05-21
21100,2011-06-21
21130,2010-06-25
21300,2008-09-30
21400,2008-10-03
21500,2008-11-13
21640,2009-04-07
21660,2009-07-07
21670,2009-07-28
21680,2009-07-28
21690,2009-09-15
21780,2009-02-13
21800,2009-02-25
21980,2009-07-02
22000,2008-10-13
22100,2008-11-03
22120,2009-01-23
22130,2009-01-23
22180,2009-03-06
22200,2009-04-21
22230,2011-09-07
22300,2008-10-28
22310,2009-12-01
22320,2009-06-16
22330,2009-06-16
22350,2011-05-09
22370,2009-12-17
22380,2010-10-21
22450,2011-06-02
22500,2009-02-11
22600,2010-08-26
22610,2010-06-03
22650,2010-09-22
22670,2010-11-17
23150,2010-04-20
23300,2009-05-26
23380,2009-11-18
23400,2008-11-25
23420,2008-12-18
23450,2009-03-05
23460,2009-02-27
23490,2009-11-13
23500,2009-02-24
23530,2011-12-14
23600,2010-11-23
23700,2009-04-27
24010,2015-09-17
24200,2011-11-02
24240,2011-10-20
24400,2009-11-24
24410,2009-10-08
24420,2008-12-15
24460,2011-09-16
24480,2012-01-27
24640,2010-09-01
24650,2010-10-01
24670,2011-06-08
24720,2009-06-26
24740,2009-03-12
24780,2010-07-20
24790,2009-11-13
24800,2009-10-06
24810,2009-11-13
24840,2009-10-06
24870,2009-10-06
24960,2010-03-02
24980,2010-01-28
25000,2017-10-16
25010,2010-10-08
25500,2009-10-28
25600,2009-02-10
25620,2010-07-12
25700,2009-09-17
25800,2009-02-04
25830,2009-02-04
25850,2009-04-07
25890,2009-08-07
25900,2009-05-01
25910,2009-07-09
25930,2009-07-31
25980,2009-09-17
25990,2009-09-04
26000,2009-03-09
26300,2009-03-17
26800,2009-04-10
26900,2009-05-06
27000,2009-03-18
27020,2009-03-09
27050,2009-11-04
27200,2009-04-02
27330,2010-07-14
27400,2009-02-23
27600,2009-03-20
27800,2009-03-19
27810,2010-02-22
27900,2009-09-16
27920,2010-04-23
27940,2011-07-27
28000,2010-08-17
29120,2009-11-12
29130,2009-03-19
29160,2009-06-01
29180,2009-08-18
29800,2009-03-19
29900,2009-03-24
31270,2010-07-01
31300,2009-05-15
31800,2009-10-10
31810,2009-10-10
31820,2009-10-10
31830,2009-10-10
31840,2009-10-10
31850,2009-10-10
31860,2009-07-17
31870,2009-07-17
31880,2009-10-10
31890,2009-10-10
31900,2009-07-17
31910,2009-07-17
31920,2009-07-17
31930,2009-07-17
31980,2009-07-21
32000,2009-04-17
32110,2009-07-13
32120,2009-07-13
32140,2009-09-28
32150,2009-10-21
32160,2009-10-15
32200,2009-10-22
32310,2009-07-08
32330,2009-07-08
32340,2009-07-08
32350,2009-07-08
32360,2009-07-15
32370,2009-09-05
32380,2009-09-16
32390,2009-09-16
32400,2009-09-16
32410,2009-10-07
32420,2009-10-06
32430,2009-12-15
32440,2009-11-12
32450,2010-02-18
32460,2010-07-07
32470,2010-05-25
32500,2010-11-23
32510,2011-03-22
32610,2009-06-18
32620,2009-06-18
32630,2009-06-18
32640,2009-06-18
32650,2009-06-18
32660,2009-06-18
32670,2009-06-18
32680,2009-06-18
32710,2009-06-18
32720,2009-06-18
32730,2009-06-18
32740,2009-06-01
32750,2009-06-18
32760,2009-06-18
32770,2009-09-29
32900,2009-05-27
33100,2009-05-27
33110,2009-05-27
33120,2009-05-27
33130,2009-05-27
33180,2009-11-18
33230,2010-03-04
33320,2010-06-10
33390,2011-01-12
33460,2011-08-17
33520,2009-07-24
33570,2010-11-18
33600,2009-12-02
33610,2009-12-02
33620,2009-11-25
33650,2010-05-28
33660,2010-05-28
33670,2010-07-13
33680,2010-06-07
33760,2010-02-22
33770,2011-02-16
33790,2011-06-09
33900,2009-06-29
33930,2010-06-29
33950,2010-11-05
33980,2010-11-05
33990,2010-11-05
34010,2010-05-27
34030,2010-02-25
34190,2010-03-03
34410,2009-08-07
34420,2009-08-28
34500,2009-06-04
34600,2009-09-17
34630,2009-11-04
34640,2009-11-04
34800,2009-06-18
34810,2009-10-14
34820,2009-10-14
34830,2010-06-24
34870,2013-03-11
34900,2009-07-20
34920,2010-07-19
35000,2009-09-14
35070,2009-10-01
35130,2010-09-28
35140,2010-03-26
35300,2009-07-20
35310,2009-07-20
35320,2012-01-24
35450,2011-09-13
35460,2010-10-26
35480,2011-05-04
35600,2009-11-05
35700,2009-07-02
35720,2013-06-06
35800,2009-07-06
36000,2009-08-04
36100,2009-07-17
36130,2009-07-17
36180,2009-07-17
36210,2009-07-17
36240,2009-09-21
36300,2010-02-16
36310,2010-02-16
36320,2010-02-16
36900,2009-08-17
36910,2009-08-17
37000,2009-12-15
37010,2009-11-19
37030,2010-02-17
37100,2009-11-05
37210,2009-08-12
37220,2009-08-12
37230,2009-08-12
37240,2009-08-12
37260,2009-08-12
37270,2009-08-12
37280,2009-08-12
37300,2009-09-30
37310,2010-05-06
37320,2010-05-06
37330,2010-05-06
37340,2010-05-06
37370,2010-05-06
37380,2010-05-06
37390,2010-05-06
37400,2009-08-25
37500,2009-11-05
37600,2009-09-25
37700,2010-03-01
37800,2009-09-03
37960,2009-08-24
38000,2009-08-24
38070,2009-12-17
38080,2009-12-17
38090,2009-12-17
38100,2009-12-17
38110,2009-12-17
38120,2010-02-15
38130,2010-02-15
38140,2010-02-15
38150,2010-02-15
38160,2010-02-15
38170,2010-02-20
38180,2010-02-20
38190,2010-02-20
38210,2009-12-17
38230,2010-01-27
38400,2015-11-01
38410,2009-08-19
38420,2009-08-19
38430,2009-08-19
38450,2009-09-17
38460,2009-09-17
38490,2009-11-04
38600,2010-09-17
38700,2010-01-28
38720,2010-12-03
38740,2011-08-11
39000,2010-07-06
39110,2010-02-03
39120,2011-03-01
39140,2013-07-04
39150,2013-12-05
39190,2011-04-05
39200,2005-08-16
39210,2014-02-18
39500,2009-12-02
39510,2010-01-13
39520,2014-09-09
39540,2009-11-03
39560,2009-10-27
39630,2010-04-20
39640,2010-04-20
39650,2010-06-24
39660,2010-06-24
39670,2010-07-16
39680,2010-07-28
39690,2010-10-11
39800,2009-09-03
39900,2010-03-26
40100,2010-03-01
40200,2009-10-01
40210,2009-12-09
40300,2009-10-02
40320,2009-10-29
40330,2009-10-29
40340,2009-10-29
40350,2010-09-24
40380,2010-11-30
40390,2012-04-26
40400,2009-10-21
40420,2010-07-16
40500,2009-11-06
40700,2009-10-16
40720,2009-12-10
40930,2010-04-20
40950,2013-10-21
40970,2013-10-21
40980,2016-09-15
40990,2002-08-28
41000,2009-11-24
41070,2011-11-22
41100,2009-10-28
41300,2009-12-04
41400,2009-11-04
41500,2009-10-27
41600,2009-11-04
41660,2010-10-28
41680,2011-05-23
